"check_id","category","quantity","expected","observed","tolerance","status","source","notes"
"T09","time","Quebec offset throughout retained observations","-0400","-0400","0","PASS","Data provider convention confirmed by author",""
"S01","posterior","Published retained draws","10200","10200","0","PASS","Author-approved reporting target",""
"S02","posterior","Draw-wise route partition","TRUE","TRUE","0","PASS","Author-approved reporting target",""
"S_Moses","posterior","Moses mean and 95% CrI","0.269; 0.044; 0.489","0.26948366013071895; 0.04444444444444445; 0.48888888888888887","5e-04","PASS","Author-approved reporting target",""
"A_Moses","diagnostics","Moses R-hat < 1.01 and ESS >= 2900","TRUE","TRUE","0","PASS","Author-approved reporting target","R-hat 1.00007065357244 ; ESS 8675.13967933388 ; MCSE 0.00150974530890261 ; chain means 0.266699346405229 0.271660130718954 0.270091503267974"
"S_Butters","posterior","Butters mean and 95% CrI","0.322; 0.222; 0.356","0.3216274509803921; 0.2222222222222222; 0.3555555555555556","5e-04","PASS","Author-approved reporting target",""
"A_Butters","diagnostics","Butters R-hat < 1.01 and ESS >= 2900","TRUE","TRUE","0","PASS","Author-approved reporting target","R-hat 1.00000080399977 ; ESS 10200 ; MCSE 0.000323694452844122 ; chain means 0.321705882352941 0.321424836601307 0.321751633986928"
"S_Neither","posterior","Neither mean and 95% CrI","0.409; 0.178; 0.644","0.4088888888888889; 0.1777777777777778; 0.6444444444444445","5e-04","PASS","Author-approved reporting target",""
"A_Neither","diagnostics","Neither R-hat < 1.01 and ESS >= 2900","TRUE","TRUE","0","PASS","Author-approved reporting target","R-hat 1.00005888518512 ; ESS 8434.02403924842 ; MCSE 0.00156072328711745 ; chain means 0.41159477124183 0.406915032679739 0.408156862745098"
"S_Conditional_Moses","posterior","Conditional_Moses mean and 95% CrI","0.422; 0.118; 0.629","0.4220780031956161; 0.1176470588235294; 0.6285714285714287","5e-04","PASS","Author-approved reporting target",""
"A_Conditional_Moses","diagnostics","Conditional_Moses R-hat < 1.01 and ESS >= 2900","TRUE","TRUE","0","PASS","Author-approved reporting target","R-hat 1.00007391746082 ; ESS 8800.51064511555 ; MCSE 0.00164705699903013 ; chain means 0.419151232151022 0.424556629378954 0.422526148056872"
"S03","diagnostics","19 probability parameters: R-hat < 1.002 and ESS > 2900","TRUE","TRUE","0","PASS","Author-approved reporting target","coda full-chain estimators, autoburnin=FALSE. This claim does not apply to all monitored latent states."
"S04","diagnostics","Fish 35 route-probability chain agreement","TRUE","TRUE","0","PASS","Author-approved reporting target","Tag 61899; Moses range 0.00676470588235289 ; intermediate latent-state exceptions remain documented."
"C01","cmr","Fixed passage probabilities","0.27; 0.296; 0.434","0.270; 0.296; 0.434","1e-12","PASS","Author-approved reporting target",""
"C01_DERIVATION","cmr","Fixed constants agree with rounded products of posterior transition means","0.27; 0.296; 0.434","0.270; 0.296; 0.434","1e-12","PASS","Author-approved reporting target",""
"C02","cmr","Original diagnostic thresholds","TRUE","TRUE","0","PASS","Author-approved reporting target","Maximum R-hat 1.01138557940097 ; minimum ESS 670 ; structural constants excluded."
"C_theta_B","cmr","theta_B flagged/modelled years","13; 16","13; 16","0","PASS","Author-approved reporting target",""
"C_theta_Mo","cmr","theta_Mo flagged/modelled years","13; 16","13; 16","0","PASS","Author-approved reporting target",""
"C_theta_B_cond","cmr","theta_B_cond flagged/modelled years","13; 16","13; 16","0","PASS","Author-approved reporting target",""
"C_theta_Mo_cond","cmr","theta_Mo_cond flagged/modelled years","13; 16","13; 16","0","PASS","Author-approved reporting target",""
"C_Nm_tot","cmr","Nm_tot flagged/modelled years","16; 18","16; 18","0","PASS","Author-approved reporting target",""
"C03","cmr","Simultaneously satisfactory split years","2009; 2016","2009; 2016","0","PASS","Author-approved reporting target",""
"CELL_0001","reported_table_cell","Table 1 61690 fish_id","61690","61690","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0002","reported_table_cell","Table 1 61690 fork_length_mm","147","147","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0003","reported_table_cell","Table 1 61690 weight_g","27.4","27.4","0.050000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0004","reported_table_cell","Table 1 61690 RP1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0005","reported_table_cell","Table 1 61690 all_MM","19","19","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0006","reported_table_cell","Table 1 61690 Rx1","203","203","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0007","reported_table_cell","Table 1 61690 R1a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0008","reported_table_cell","Table 1 61690 R1b","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0009","reported_table_cell","Table 1 61690 R2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0010","reported_table_cell","Table 1 61690 Rx2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0011","reported_table_cell","Table 1 61690 Rx2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0012","reported_table_cell","Table 1 61690 R2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0013","reported_table_cell","Table 1 61690 R3a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0014","reported_table_cell","Table 1 61690 R3b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0015","reported_table_cell","Table 1 61690 HoT","7","7","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0016","reported_table_cell","Table 1 61690 Inner_Bay","3","3","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0017","reported_table_cell","Table 1 61690 Outer_Bay","9","9","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0018","reported_table_cell","Table 1 61690 all_SoBI","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0019","reported_table_cell","Table 1 61690 total_detections","243","243","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0020","reported_table_cell","Table 1 61690 release_Rx1_days","1.38","1.384537037037037","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0021","reported_table_cell","Table 1 61690 release_HoT_days","3.56","3.556111111111111","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0022","reported_table_cell","Table 1 61690 HoT_inner_days","1.03","1.027916666666667","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0023","reported_table_cell","Table 1 61690 HoT_outer_days","3.94","3.939074074074074","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0024","reported_table_cell","Table 1 61690 HoT_SoBI_days",NA,NA,"0.500000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0025","reported_table_cell","Table 1 61691 fish_id","61691","61691","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0026","reported_table_cell","Table 1 61691 fork_length_mm","145","145","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0027","reported_table_cell","Table 1 61691 weight_g","25.4","25.4","0.050000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0028","reported_table_cell","Table 1 61691 RP1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0029","reported_table_cell","Table 1 61691 all_MM","25","25","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0030","reported_table_cell","Table 1 61691 Rx1","27","27","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0031","reported_table_cell","Table 1 61691 R1a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0032","reported_table_cell","Table 1 61691 R1b","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0033","reported_table_cell","Table 1 61691 R2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0034","reported_table_cell","Table 1 61691 Rx2b","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0035","reported_table_cell","Table 1 61691 Rx2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0036","reported_table_cell","Table 1 61691 R2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0037","reported_table_cell","Table 1 61691 R3a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0038","reported_table_cell","Table 1 61691 R3b","2","2","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0039","reported_table_cell","Table 1 61691 HoT","15","15","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0040","reported_table_cell","Table 1 61691 Inner_Bay","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0041","reported_table_cell","Table 1 61691 Outer_Bay","27","27","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0042","reported_table_cell","Table 1 61691 all_SoBI","65","65","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0043","reported_table_cell","Table 1 61691 total_detections","164","164","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0044","reported_table_cell","Table 1 61691 release_Rx1_days","1.55","1.554340277777778","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0045","reported_table_cell","Table 1 61691 release_HoT_days","3.95","3.945891203703704","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0046","reported_table_cell","Table 1 61691 HoT_inner_days",NA,NA,"0.500000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0047","reported_table_cell","Table 1 61691 HoT_outer_days","6.29","6.289664351851852","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0048","reported_table_cell","Table 1 61691 HoT_SoBI_days","34.7","34.69747685185185","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0049","reported_table_cell","Table 1 61692 fish_id","61692","61692","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0050","reported_table_cell","Table 1 61692 fork_length_mm","145","145","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0051","reported_table_cell","Table 1 61692 weight_g","26.1","26.1","0.050000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0052","reported_table_cell","Table 1 61692 RP1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0053","reported_table_cell","Table 1 61692 all_MM","18","18","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0054","reported_table_cell","Table 1 61692 Rx1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0055","reported_table_cell","Table 1 61692 R1a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0056","reported_table_cell","Table 1 61692 R1b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0057","reported_table_cell","Table 1 61692 R2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0058","reported_table_cell","Table 1 61692 Rx2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0059","reported_table_cell","Table 1 61692 Rx2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0060","reported_table_cell","Table 1 61692 R2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0061","reported_table_cell","Table 1 61692 R3a","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0062","reported_table_cell","Table 1 61692 R3b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0063","reported_table_cell","Table 1 61692 HoT","24","24","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0064","reported_table_cell","Table 1 61692 Inner_Bay","5","5","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0065","reported_table_cell","Table 1 61692 Outer_Bay","5","5","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0066","reported_table_cell","Table 1 61692 all_SoBI","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0067","reported_table_cell","Table 1 61692 total_detections","55","55","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0068","reported_table_cell","Table 1 61692 release_Rx1_days","2.07","2.068206018518519","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0069","reported_table_cell","Table 1 61692 release_HoT_days","2.52","2.520474537037037","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0070","reported_table_cell","Table 1 61692 HoT_inner_days","1.47","1.471828703703704","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0071","reported_table_cell","Table 1 61692 HoT_outer_days","3.26","3.260497685185185","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0072","reported_table_cell","Table 1 61692 HoT_SoBI_days",NA,NA,"0.500000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0073","reported_table_cell","Table 1 61693 fish_id","61693","61693","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0074","reported_table_cell","Table 1 61693 fork_length_mm","162","162","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0075","reported_table_cell","Table 1 61693 weight_g","35.7","35.7","0.050000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0076","reported_table_cell","Table 1 61693 RP1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0077","reported_table_cell","Table 1 61693 all_MM","3","3","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0078","reported_table_cell","Table 1 61693 Rx1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0079","reported_table_cell","Table 1 61693 R1a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0080","reported_table_cell","Table 1 61693 R1b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0081","reported_table_cell","Table 1 61693 R2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0082","reported_table_cell","Table 1 61693 Rx2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0083","reported_table_cell","Table 1 61693 Rx2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0084","reported_table_cell","Table 1 61693 R2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0085","reported_table_cell","Table 1 61693 R3a","2","2","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0086","reported_table_cell","Table 1 61693 R3b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0087","reported_table_cell","Table 1 61693 HoT","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0088","reported_table_cell","Table 1 61693 Inner_Bay","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0089","reported_table_cell","Table 1 61693 Outer_Bay","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0090","reported_table_cell","Table 1 61693 all_SoBI","9","9","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0091","reported_table_cell","Table 1 61693 total_detections","17","17","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0092","reported_table_cell","Table 1 61693 release_Rx1_days","2.16","2.155173611111111","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0093","reported_table_cell","Table 1 61693 release_HoT_days","3.97","3.972743055555556","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0094","reported_table_cell","Table 1 61693 HoT_inner_days",NA,NA,"0.500000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0095","reported_table_cell","Table 1 61693 HoT_outer_days",NA,NA,"0.500000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0096","reported_table_cell","Table 1 61693 HoT_SoBI_days","33.56","33.55824074074074","0.005000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0097","reported_table_cell","Table 1 61834 fish_id","61834","61834","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0098","reported_table_cell","Table 1 61834 fork_length_mm","146","146","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0099","reported_table_cell","Table 1 61834 weight_g","25.6","25.6","0.050000000001","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0100","reported_table_cell","Table 1 61834 RP1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0101","reported_table_cell","Table 1 61834 all_MM","10","10","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0102","reported_table_cell","Table 1 61834 Rx1","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0103","reported_table_cell","Table 1 61834 R1a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0104","reported_table_cell","Table 1 61834 R1b","2","2","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0105","reported_table_cell","Table 1 61834 R2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0106","reported_table_cell","Table 1 61834 Rx2b","1","1","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0107","reported_table_cell","Table 1 61834 Rx2a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0108","reported_table_cell","Table 1 61834 R2b","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
"CELL_0109","reported_table_cell","Table 1 61834 R3a","0","0","0","PASS","audit/reported_table_cells.csv","Audited reporting cells; author-approved 2008 correction. Calculations use analytical inputs, not these reference cells."
